scenario,year,t,restrict_share,fragment_share,open_share,tau,mu,access,q_star_gwh,q_real_gwh,eta,gap_gwh
open_steps,2023.88,0.88,0.1700267651134066,0.14708480321061979,0.8299732348865934,0.12,0.08,0.1,906.1068382692415,786.500806517175,0.8680000782462622,119.60603175206654
open_steps,2023.89,0.89,0.169893871052996,0.14655696401490137,0.830106128947004,0.12,0.08,0.1,908.0558668900258,788.3246350855851,0.8681455225717503,119.73123180444065
open_steps,2023.9,0.9,0.16976061398806538,0.14603072070846257,0.8302393860119346,0.12,0.08,0.1,910.0090878559114,790.1524639962935,0.8682907396650135,119.85662385961791
open_steps,2023.91,0.91,0.16962699639321127,0.14550607108175304,0.8303730036067887,0.12,0.08,0.1,911.9665101845993,791.9843013483536,0.8684357292769895,119.98220883624572
open_steps,2023.92,0.92,0.16949302073872285,0.1449830129111247,0.8305069792612771,0.12,0.08,0.1,913.9281429131875,793.8201552585393,0.86858049116225,120.10798765464813
open_steps,2023.93,0.93,0.16935868949054117,0.14446154395895286,0.8306413105094588,0.12,0.08,0.1,915.8939950982129,795.6600338613953,0.8687250250789943,120.23396123681766
open_steps,2023.94,0.9400000000000001,0.16922400511021862,0.14394166197375716,0.8307759948897814,0.12,0.08,0.1,917.8640758156929,797.5039453092838,0.8688693307890423,120.36013050640906
open_steps,2023.95,0.9500000000000001,0.1690889700548789,0.14342336469032232,0.8309110299451211,0.12,0.08,0.1,919.838394161167,799.3518977724358,0.8690134080578283,120.48649638873121
open_steps,2023.96,0.96,0.16895358677717745,0.14290664982981868,0.8310464132228226,0.12,0.08,0.1,921.8169592497396,801.203899438999,0.869157256654394,120.61305981074065
open_steps,2023.97,0.97,0.16881785772526195,0.14239151509992254,0.8311821422747381,0.12,0.08,0.1,923.7997802161212,803.0599585150875,0.8693008763513812,120.73982170103375
open_steps,2023.98,0.98,0.16868178534273365,0.1418779581949363,0.8313182146572664,0.12,0.08,0.1,925.7868662146715,804.9200832248317,0.8694442669250255,120.86678298983975
open_steps,2023.99,0.99,0.1685453720686087,0.14136597679590837,0.8314546279313912,0.12,0.08,0.1,927.7782264194409,806.7842818104266,0.8695874281551484,120.9939446090143
open_steps,2024.0,1.0,0.1684086203372801,0.14085556857075296,0.8315913796627199,0.12,0.08,0.1,929.7738700242126,808.6525625321818,0.8697303598251513,121.12130749203072
open_steps,2024.01,1.01,0.1682715325784799,0.14034673117436947,0.8317284674215201,0.12,0.08,0.1,931.7738062425464,810.5249336685716,0.8698730617220067,121.24887257397472
open_steps,2024.02,1.02,0.16813411121724195,0.13983946224876184,0.831865888782758,0.12,0.08,0.1,933.7780443078199,812.401403516284,0.8700155336362523,121.37664079153592
open_steps,2024.03,1.03,0.16799635867386478,0.13933375942315765,0.8320036413261352,0.12,0.08,0.1,935.7865934732718,814.2819803902698,0.8701577753619822,121.50461308300191
open_steps,2024.04,1.04,0.16785827736387512,0.1388296203141268,0.8321417226361248,0.12,0.08,0.1,937.7994630120444,816.1666726237944,0.8702997866968412,121.63279038824999
open_steps,2024.05,1.05,0.16771986969799163,0.13832704252570024,0.8322801303020084,0.12,0.08,0.1,939.8166622172264,818.055488568485,0.8704415674420146,121.76117364874142
open_steps,2024.06,1.06,0.16758113808208908,0.1378260236494883,0.8324188619179109,0.12,0.08,0.1,941.8382004018957,819.9484365943822,0.8705831174022232,121.88976380751353
open_steps,2024.07,1.07,0.16744208491716292,0.1373265612647987,0.832557915082837,0.12,0.08,0.1,943.8640868991631,821.8455250899896,0.8707244363857132,122.01856180917355
